Date,Price Close_BTC=,Volatility - 30 days_BTC=,TR.RSI14D_BTC=,Price Close_ETH=,Volatility - 30 days_ETH=,TR.RSI14D_ETH=,Price Close_SOL=,Volatility - 30 days_SOL=,TR.RSI14D_SOL=,Price Close_BTCc1,Volatility - 30 days_BTCc1,TR.RSI14D_BTCc1,Price Close_2330.TW,Volatility - 30 days_2330.TW,TR.RSI14D_2330.TW,Price Close_2454.TW,Volatility - 30 days_2454.TW,TR.RSI14D_2454.TW,Price Close_.TWII,Volatility - 30 days_.TWII,TR.RSI14D_.TWII,Price Close_LCOc1,Volatility - 30 days_LCOc1,TR.RSI14D_LCOc1,Price Close_XAU=,Volatility - 30 days_XAU=,TR.RSI14D_XAU=,Price Close_US10YT=RR,Volatility - 30 days_US10YT=RR,TR.RSI14D_US10YT=RR,Price Close_.N225,Volatility - 30 days_.N225,TR.RSI14D_.N225,Price Close_.FTSE,Volatility - 30 days_.FTSE,TR.RSI14D_.FTSE,Price Close_.GDAXI,Volatility - 30 days_.GDAXI,TR.RSI14D_.GDAXI,Price Close_EUR=,Volatility - 30 days_EUR=,TR.RSI14D_EUR=,Price Close_JPY=,Volatility - 30 days_JPY=,TR.RSI14D_JPY=,Price Close_CNY=,Volatility - 30 days_CNY=,TR.RSI14D_CNY=
2020-06-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22259.79,,,6147.14,,,12177.87,,,,,,,,,,,
2020-06-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22512.08,,,6159.3,,,12089.39,,,,,,,,,,,
2020-06-29 00:00:00,,,,,,,,,,,,,312.0,,,565.0,,,11542.62,,,,,,,,,,,,21995.04,,,6225.77,,,12232.12,,,,,,,,,,,
2020-06-30 00:00:00,,,,,,,,,,,,,313.0,,,579.0,,,11621.24,,,,,,,,,,,,22288.14,,,6169.74,,,12310.93,,,,,,,,,,,
2020-07-01 00:00:00,,,,,,,,,,,,,317.5,,,577.0,,,11703.42,,,,,,,,,,,,22121.73,,,6157.96,,,12260.57,,,,,,,,,,,
2020-07-02 00:00:00,,,,,,,,,,,,,322.0,,,574.0,,,11805.14,,,,,,,,,,,,22145.96,,,6240.36,,,12608.46,,,,,,,,,,,
2020-07-03 00:00:00,,,,,,,,,,,,,329.5,,,585.0,,,11909.16,,,,,,,,,,,,22306.48,,,6157.3,,,12528.18,,,,,,,,,,,
2020-07-06 00:00:00,,,,,,,,,,,,,338.0,,,589.0,,,12116.7,,,,,,,,,,,,22714.44,,,6285.94,,,12733.45,,,,,,,,,,,
2020-07-07 00:00:00,,,,,,,,,,,,,338.5,,,618.0,,,12092.97,,,,,,,,,,,,22614.69,,,6189.9,,,12616.8,,,,,,,,,,,
2020-07-08 00:00:00,,,,,,,,,,,,,341.0,,,661.0,,,12170.19,,,,,,,,,,,,22438.65,,,6156.16,,,12494.81,,,,,,,,,,,
2020-07-09 00:00:00,,,,,,,,,,,,,345.0,,,651.0,,,12192.69,,,,,,,,,,,,22529.29,,,6049.62,,,12489.46,,,,,,,,,,,
2020-07-10 00:00:00,,,,,,,,,,,,,348.5,,,616.0,,,12073.68,,,,,,,,,,,,22290.81,,,6095.41,,,12633.71,,,,,,,,,,,
2020-07-13 00:00:00,,,,,,,,,,,,,354.5,,,629.0,,,12211.56,,,,,,,,,,,,22784.74,,,6176.19,,,12799.97,,,,,,,,,,,
2020-07-14 00:00:00,,,,,,,,,,,,,363.5,,,611.0,,,12209.01,,,,,,,,,,,,22587.01,,,6179.75,,,12697.36,,,,,,,,,,,
2020-07-15 00:00:00,,,,,,,,,,,,,363.0,,,609.0,,,12202.85,,,,,,,,,,,,22945.5,,,6292.65,,,12930.98,,,,,,,,,,,
2020-07-16 00:00:00,,,,,,,,,,,,,357.5,,,599.0,,,12157.74,,,,,,,,,,,,22770.36,,,6250.69,,,12874.97,,,,,,,,,,,
2020-07-17 00:00:00,,,,,,,,,,,,,367.0,,,607.0,,,12181.56,,,,,,,,,,,,22696.42,,,6290.3,,,12919.61,,,,,,,,,,,
2020-07-20 00:00:00,,,,,,,,,,,,,366.0,,,601.0,,,12174.54,,,,,,,,,,,,22717.48,,,6261.52,,,13046.92,,,,,,,,,,,
2020-07-21 00:00:00,,,,,,,,,,,,,383.0,,,637.0,,,12397.55,,,,,,,,,,,,22884.22,,,6269.73,,,13171.83,,,,,,,,,,,
2020-07-22 00:00:00,,,,,,,,,,,,,384.0,,,664.0,,,12473.27,,,,,,,,,,,,22751.61,,,6207.1,,,13104.25,,,,,,,,,,,
2020-07-23 00:00:00,,,,,,,,,,,,,381.5,,,677.0,,,12413.04,,,,,,,,,,,,,,,6211.44,,,13103.39,,,,,,,,,,,
2020-07-24 00:00:00,,,,,,,,,,,,,386.0,,,675.0,,,12304.04,,,,,,,,,,,,,,,6123.82,,,12838.06,,,,,,,,,,,
2020-07-27 00:00:00,,,,,,,,,,,,,424.5,,,728.0,,,12588.3,,,,,,,,,,,,22715.85,,,6104.88,,,12838.66,,,,,,,,,,,
2020-07-28 00:00:00,,,,,,,,,,,,,435.0,,,680.0,,,12586.73,,,,,,,,,,,,22657.38,,,6129.26,,,12835.28,,,,,,,,,,,
2020-07-29 00:00:00,,,,,,,,,,,,,422.0,,,682.0,,,12540.97,,,,,,,,,,,,22397.11,,,6131.46,,,12822.26,,,,,,,,,,,
2020-07-30 00:00:00,,,,,,,,,,,,,434.0,,,683.0,,,12722.92,,,,,,,,,,,,22339.23,,,5989.99,,,12379.65,,,,,,,,,,,
2020-07-31 00:00:00,,,,,,,,,,,,,425.5,,,701.0,,,12664.8,,,,,,,,,,,,21710.0,,,5897.76,,,12313.36,,,,,,,,,,,
2020-08-03 00:00:00,,,,,,,,,,,,,416.0,,,696.0,,,12513.03,,,,,,,,,,,,22195.38,,,6032.85,,,12646.98,,,,,,,,,,,
2020-08-04 00:00:00,,,,,,,,,,,,,425.5,,,732.0,,,12709.92,,,,,,,,,,,,22573.66,,,6036.0,,,12600.87,,,,,,,,,,,
