,skew_put_minus_call,term_structure_inversion,liquidity_flag,short_interest,returns_5d,drawdown
,,,,,,
Date,,,,,,
2015-08-12,,,51532733.6,,-0.001386481802426398,-0.13353383458646617
2015-08-13,,,51496180.0,,0.00017371666811438757,-0.13421052631578945
2015-08-14,,,51667035.2,,0.0038088642659279692,-0.12812030075187975
2015-08-17,,,49691499.2,,-0.02138322753090549,-0.11909774436090226
2015-08-18,,,40983788.8,,0.026522160542779227,-0.12406015037593987
2015-08-19,,,32095868.0,,-0.001995834779590311,-0.13526315789473675
2015-08-20,,,35664756.8,,-0.021710811984368195,-0.15300751879699248
2015-08-21,,,54333854.4,,-0.08796136598827176,-0.2048120300751879
2015-08-24,,,85141467.2,,-0.11983612154318879,-0.22466165413533834
2015-08-25,,,102084067.2,,-0.1095278969957082,-0.22000000000000008
2015-08-26,,,112084335.2,,-0.04625684723067569,-0.1752631578947369
2015-08-27,,,114772850.4,,0.002396804260985208,-0.15097744360902254
2015-08-28,,,98364137.6,,0.07119894099848723,-0.14819548872180444
2015-08-31,,,71444749.6,,0.09348332040341356,-0.15218045112781953
2015-09-01,,,62344636.8,,0.03836514362830146,-0.19007518796992484
2015-09-02,,,54202952.0,,0.02415899352721307,-0.15533834586466166
2015-09-03,,,48516541.6,,-0.022582359192348522,-0.1701503759398496
2015-09-04,,,48798591.2,,-0.0354841557065938,-0.17842105263157892
2015-09-07,,,,,-0.03095069173465781,
2015-09-08,,,,,0.042610471593018895,-0.15556390977443613
2015-09-09,,,,,-0.019494392024212215,-0.1718045112781954
2015-09-10,,,,,0.01993295279514351,-0.15360902255639108
2015-09-11,,,,,0.045209115036148884,-0.1412781954887219
2015-09-14,,,47608539.2,,0.05527592202800413,-0.13300751879699246
2015-09-15,,,44261836.8,,0.035348588727628805,-0.12571428571428567
2015-09-16,,,37863374.4,,0.05683159328188836,-0.12473684210526315
2015-09-17,,,40260731.2,,0.011992537976370343,-0.14345864661654129
2015-09-18,,,53997836.0,,-0.006654408545661461,-0.14699248120300745
2015-09-21,,,51570130.4,,-0.0008672274737664409,-0.13375939849624063
2015-09-22,,,54585382.4,,-0.024767801857585092,-0.14736842105263148
2015-09-23,,,54021156.0,,-0.017953784039171916,-0.14045112781954894
2015-09-24,,,51933810.4,,0.00948033707865159,-0.13533834586466165
2015-09-25,,,39474774.4,,0.011106214191273667,-0.13751879699248126
2015-09-28,,,42635036.0,,-0.02404305181841848,-0.1545864661654136
2015-09-29,,,44260100.8,,-0.03827160493827164,-0.17999999999999994
2015-09-30,,,51547416.0,,-0.03516445066480056,-0.17067669172932332
2015-10-01,,,52241512.0,,-0.0471304347826087,-0.17609022556390974
2015-10-02,,,52287975.2,,-0.03774736291517744,-0.17007518796992482
2015-10-05,,,51967588.0,,-0.014763429384560656,-0.16706766917293236
2015-10-06,,,49068924.0,,0.020630845406198528,-0.16308270676691727
2015-10-07,,,43969825.6,,0.004351767905711679,-0.16706766917293236
2015-10-08,,,44890138.4,,-0.0007300602299689096,-0.17669172932330823
2015-10-09,,,43090569.6,,0.015763725312556653,-0.15699248120300746
2015-10-12,,,38880929.6,,0.007402058133237022,-0.16090225563909777
2015-10-13,,,36074656.0,,0.004312281016979558,-0.15947368421052632
2015-10-14,,,36668940.0,,-0.005145333092616111,-0.1713533834586467
2015-10-15,,,32547960.0,,0.021552511415525055,-0.15894736842105261
2015-10-16,,,33012959.2,,-0.009632536567962924,-0.1651127819548872
2015-10-19,,,33400992.0,,0.001164874551971451,-0.15992481203007514
2015-10-20,,,35597215.2,,0.0177117810179801,-0.1445864661654136
2015-10-21,,,34847577.6,,0.032211233100444714,-0.14466165413533827
2015-10-22,,,35580394.4,,0.03254067584480591,-0.13157894736842102
2015-10-23,,,37490683.2,,0.07240634005763691,-0.10466165413533834
2015-10-26,,,43472361.6,,0.03177302425490014,-0.13323308270676693
2015-10-27,,,46738794.4,,0.006855937417596936,-0.13872180451127825
2015-10-28,,,52118572.0,,0.04843530239099847,-0.1032330827067669
2015-10-29,,,51312043.2,,0.04354978354978356,-0.0937593984962406
2015-10-30,,,50575158.4,,0.003527040644944579,-0.10150375939849621
2015-11-02,,,43945174.4,,0.05117973629424011,-0.08887218045112777
2015-11-03,,,39715776.0,,0.07001309471846362,-0.07842105263157895
2015-11-04,,,33705556.8,,0.02288924289427352,-0.08270676691729328
2015-11-05,,,32807256.8,,0.0032357089521282134,-0.09082706766917292
2015-11-06,,,28620630.4,,0.013054393305439449,-0.0897744360902255
2015-11-09,,,30444431.2,,-0.0050338339660011,-0.09345864661654135
2015-11-10,,,32666730.4,,-0.04731989883331966,-0.12203007518796993
2015-11-11,,,31717112.0,,-0.04827868852459016,-0.12699248120300755
2015-11-12,,,30725761.6,,-0.04300363876943436,-0.12992481203007522
2015-11-13,,,33240688.8,,-0.07203039814967782,-0.15533834586466166
2015-11-16,,,33175596.8,,-0.053039727958862026,-0.14154135338345863
2015-11-17,,,28245626.4,,-0.02637663783506039,-0.1451879699248121
2015-11-18,,,29987644.0,,0.010162776677288932,-0.11812030075187963
2015-11-19,,,31308774.4,,0.02644313861043912,-0.10691729323308274
2015-11-20,,,30369910.4,,0.061954780131742826,-0.10300751879699255
2015-11-23,,,29508376.0,,0.03131158309612436,-0.11466165413533835
2015-11-24,,,34216167.2,,0.045650452986190526,-0.10616541353383457
2015-11-25,,,30737536.0,,0.006309148264984188,-0.11255639097744363
2015-11-26,,,,,-0.006314194308806198,
2015-11-27,,,,,-0.012489522212908555,-0.11421052631578943
2015-11-30,,,,,0.004670912951167727,-0.1105263157894737
2015-12-01,,,,,-0.01295423956931352,-0.1177443609022556
2015-12-02,,,,,-0.014826738964670017,-0.12571428571428567
2015-12-03,,,29125450.4,,-0.023976955011437706,-0.13383458646616542
2015-12-04,,,37146173.6,,0.010355657414480968,-0.10503759398496237
2015-12-07,,,34524410.4,,-0.00016906170752317706,-0.11067669172932326
2015-12-08,,,35308052.0,,0.0075847963183910405,-0.11105263157894729
2015-12-09,,,36427612.0,,-0.005675954592363253,-0.13067669172932328
2015-12-10,,,34246411.2,,0.008420138888888928,-0.12654135338345862
2015-12-11,,,32697324.0,,-0.04914727379652184,-0.1490225563909774
2015-12-14,,,36899100.8,,-0.04903618532296239,-0.15428571428571425
2015-12-15,,,38182073.6,,-0.06546561786348648,-0.16924812030075187
2015-12-16,,,39667303.2,,-0.037017816986680496,-0.1628571428571428
2015-12-17,,,42708406.4,,-0.06189205474735304,-0.18060150375939843
2015-12-18,,,63865083.2,,-0.06317370560169644,-0.20278195488721806
2015-12-21,,,61160045.6,,-0.045785917496443895,-0.19300751879699252
2015-12-22,,,58347734.4,,-0.02950493257308351,-0.19375939849624058
2015-12-23,,,54330398.4,,-0.024519489850907128,-0.18338345864661654
2015-12-24,,,49100059.2,,-0.008717195815746037,-0.18774436090225566
2015-12-25,,,,,0.018862586060548914,
2015-12-28,,,,,-0.004751700363365363,-0.19684210526315793
2015-12-29,,,,,0.014081880070875519,-0.18240601503759402
2015-12-30,,,,,-0.01187735935917511,-0.1930827067669173
2015-12-31,,,,,-0.02564102564102555,-0.20857142857142852
2016-01-01,,,,,-0.02564102564102555,
2016-01-04,,,,,-0.013761467889908285,-0.20789473684210535
2016-01-05,,,,,-0.055453375022990636,-0.2277443609022557
2016-01-06,,,,,-0.06168468132687277,-0.24285714285714288
2016-01-07,,,,,-0.08369751092532773,-0.27481203007518795
2016-01-08,,,53606656.8,,-0.0788523655709672,-0.27097744360902265
2016-01-11,,,51112535.2,,-0.0647365923113431,-0.25917293233082705
2016-01-12,,,50087535.2,,-0.026774413396942864,-0.248421052631579
2016-01-13,,,50241317.6,,-0.032869910625620724,-0.2677443609022556
2016-01-14,,,46866289.6,,0.031829963711767606,-0.2517293233082707
2016-01-15,,,50300854.4,,0.0017533003300329586,-0.26969924812030077
2016-01-18,,,,,-0.014208870394803674,
2016-01-19,,,,,-0.03301320528211282,-0.27323308270676694
2016-01-20,,,,,-0.0061607967963855925,-0.2722556390977443
2016-01-21,,,,,-0.03235530546623788,-0.27593984962406015
2016-01-22,,,,,0.04416761041902606,-0.23744360902255635
2016-01-25,,,47368547.2,,0.023782559456398733,-0.2523308270676692
2016-01-26,,,51536288.0,,0.03445065176908746,-0.24819548872180452
2016-01-27,,,54830209.6,,-0.034817646451079654,-0.29759398496240597
2016-01-28,,,55694357.6,,-0.022949117341640624,-0.29255639097744357
2016-01-29,,,59404060.0,,-0.04022875172549789,-0.26812030075187965
2016-02-01,,,55812119.2,,-0.030269509251810045,-0.2749624060150375
2016-02-02,,,51147962.4,,-0.05510551055105506,-0.2896240601503759
2016-02-03,,,42613328.8,,0.03136373367587231,-0.2755639097744361
2016-02-04,,,41380781.6,,0.026676586247210032,-0.27368421052631586
2016-02-05,,,35519456.0,,-0.03410725292788175,-0.2930827067669173
2016-02-08,,,38621701.6,,-0.014725707767292318,-0.2856390977443609
2016-02-09,,,38707764.8,,0.005397967823878025,-0.2857894736842106
2016-02-10,,,36890913.6,,-0.021587960560456643,-0.291203007518797
2016-02-11,,,38421108.0,,-0.03002070393374734,-0.29548872180451125
2016-02-12,,,37385796.8,,-0.00031908104658584513,-0.29330827067669174
